ID,Category,Name,Description,Year,Link,License,PDF
6670830,cv,License Plate Dataset,1695 images for license plate detection,2025,https://www.kaggle.com/datasets/ronakgohil/license-plate-dataset,CC0: Public Domain,Kaggle
6556263,cv,Smoke-Fire-Detection-YOLO,Smoke and Fire Detection Dataset for YOLO,2025,https://www.kaggle.com/datasets/sayedgamal99/smoke-fire-detection-yolo,CC0: Public Domain,Kaggle
6732047,cv,Bird vs Drone,Distinguishing the Skies: A Dataset for Drone vs Bird Classification,2025,https://www.kaggle.com/datasets/stealthknight/bird-vs-drone,MIT,Kaggle
6625317,cv,Low light animals,Images of Animals converted to low light condition,2025,https://www.kaggle.com/datasets/subratasarkar32/low-light-animals,Apache 2.0,Kaggle
6652053,cv,İNME VERİ SETİ (STROKE DATASET),TEKNOFEST 2021 ARTIFICIAL INTELLIGENCE DATASET IN HEALTH,2025,https://www.kaggle.com/datasets/orvile/inme-veri-seti-stroke-dataset,Other (specified in description),Kaggle
6573025,cv,Car Detection and Tracking Dataset,499     Images of Car Dataset with Text Annotation,2025,https://www.kaggle.com/datasets/amitkumargurjar/car-detection-and-tracking-dataset,CC0: Public Domain,Kaggle
6412205,cv,AI vs. Human-Generated Images,A Curated Dataset of AI-Generated and Authentic Images,2025,https://www.kaggle.com/datasets/alessandrasala79/ai-vs-human-generated-dataset,Apache 2.0,Kaggle
6582139,cv,IQ-OTH/NCCD Lung Cancer Dataset (Augmented),Augmented Lung Cancer CT Scan samples from Iraqi hospitals,2025,https://www.kaggle.com/datasets/subhajeetdas/iq-othnccd-lung-cancer-dataset-augmented,MIT,Kaggle
165566,cv,Brain MRI Images for Brain Tumor Detection,,2019,https://www.kaggle.com/datasets/navoneel/brain-mri-images-for-brain-tumor-detection,Data files © Original Authors,Kaggle
29561,cv,CelebFaces Attributes (CelebA) Dataset,Over 200k images of celebrities with 40 binary attribute annotations,2018,https://www.kaggle.com/datasets/jessicali9530/celeba-dataset,Other (specified in description),Kaggle
6697657,cv,Signature,Detects human signatures in legal and general documents,2025,https://www.kaggle.com/datasets/ultralytics/signature,GNU Affero General Public License 3.0,Kaggle
59760,cv,Animals-10,Animal pictures of 10 different categories taken from google images,2019,https://www.kaggle.com/datasets/alessiocorrado99/animals10,GPL 2,Kaggle
6709331,cv,PlantDoc,Efficient plant disease detection with YOLO-ready annotations,2025,https://www.kaggle.com/datasets/andresmgs/plantdec,Attribution 4.0 International (CC BY 4.0),Kaggle
23079,cv,ASL Alphabet,Image data set for alphabets in the American Sign Language ,2018,https://www.kaggle.com/datasets/grassknoted/asl-alphabet,GPL 2,Kaggle
6812365,cv,Eye Disease Image Dataset,A dataset of color fundus images of eye diseases,2025,https://www.kaggle.com/datasets/ruhulaminsharif/eye-disease-image-dataset,Attribution 4.0 International (CC BY 4.0),Kaggle
6743253,cv,Amini Cocoa Contamination Dataset,Can you develop a machine learning model to identify diseases on cocoa leaves?,2025,https://www.kaggle.com/datasets/ohagwucollinspatrick/amini-cocoa-contamination-dataset,Attribution 4.0 International (CC BY 4.0),Kaggle
